Attendance device IP,Location
10.140.8.40,Upstair Canteen Exit East Side Area
10.140.8.42,Cutting Exit Area 1
10.140.8.55,Female Locker Area 1
10.140.8.60,Female Locker Area 8
10.140.8.76,HRM Exit Area 1
10.140.8.77,HRM Exit Area 2
10.140.8.79,Cutting Exit Area 2
10.140.8.80,Finishing Area (Big glass room er vitore)
10.140.8.82,Female Locker Area 2
10.140.8.85,Upstair Canteen Entry Beside Basine
10.140.8.86,Female Locker Area 7
10.140.8.87,Female Locker Area 5
10.140.8.88,Female Locker Area 6
10.140.8.89,Female Locker Area 4
10.140.8.90,Sample Area Entry 
10.140.8.92,Upstair Canteen Middle Area South Side
10.140.8.93,Sewing Floor Infront of Line 9/10
10.140.8.94,Reception Area
