AssetName,Category,IP,Plant,Location
BD-02441,TA,10.140.8.40,SIL,Upstair Canteen Exit East Side Area
BD-02430,TA,10.140.8.42,SIL,Cutting Exit Area 1
BD-02427,TA,10.140.8.55,SIL,Female Locker Area 1
BD-02115,TA,10.140.8.60,SIL,Female Locker Area 8
BD-02474,TA,10.140.8.76,SIL,HRM Exit Area 1
BD-01990,TA,10.140.8.77,SIL,HRM Exit Area 2
BD-02057,TA,10.140.8.79,SIL,Cutting Exit Area 2
BD-02428,TA,10.140.8.80,SIL,Finishing Area (Big glass room er vitore)
BD-02054,TA,10.140.8.82,SIL,Female Locker Area 2
BD-02055,TA,10.140.8.85,SIL,Upstair Canteen Entry Beside Basine
BD-02056,TA,10.140.8.86,SIL,Female Locker Area 7
BD-02563,TA,10.140.8.87,SIL,Female Locker Area 5
BD-03429,TA,10.140.8.88,SIL,Female Locker Area 6
BD-03542,TA,10.140.8.89,SIL,Female Locker Area 4
BD-03543,TA,10.140.8.90,SIL,Sample Area Entry 
BD-02918,TA,10.140.8.92,SIL,Upstair Canteen Middle Area South Side
BD-02579,TA,10.140.8.93,SIL,Sewing Floor Infront of Line 9/10
BD-02426,TA,10.140.8.94,SIL,Reception Area
BD-02429,TA,10.140.8.41,SWL,Reception Area
BD-02473,TA,10.140.8.43,SWL,HRM Exit Area 1
