"Asset No","SAP Ref. No","Invoice No","Asset Name",Category,Type,Status,"Serial No",Make,Model,"Pur Value","Pur Date","Pur From","PO No","User Full Name",Department,Division,Factory,Site,N.Username,"Part Name","Mother Board",Processor,Speed,SSD,HDD,RAM,Network,"Mac Address","Total Cost",OS,"Last Rebuild",Bag,OEM,"OEM Serial",Remark
BD-00001,210011000009,1234,SDLD166E,Computer,Desktop,Assigned,2414602324,Dell,"Optiplex 390 MT","40,000",2012-04-03,"Global Brand Ltd",,"Babu Rana",Operation,LWR,SIL,SDL,rbabu,1,,"Intel Core i3",3.10,"250 GB",,8192,,,,"WIN10 Pro",2021-05-09,,"WIN 7 Pro",YWQVK-3W467-RMHJG-D6RH6-VKRXX,Remark
BD-00002,,n/a,,Display,Monitor,Assigned,CN-04H19R-728272-1A0-1CL,Dell,E1912HF,"8,600",2012-04-03,,,"Jannatul Ferdous",PCC,SWR,SDL,SDL,jferdous,,,,,,,,,,,,,,,,
BD-00003,,,,Scanner,Scanner,Stock,MM6W030089,Epson,J232C,"6,900",2012-05-05,,,"Ex.Wahid Seraj",MIS,SWR,,SDL,,,,,,,,,,,,,,,,,"Scanner have some problem(adapter faulty)."
BD-00004,,n/a,SDLD210F,Computer,Desktop,Assigned,C6M0CS103651,Clone,P8H61-MLX,"18,000",2014-11-29,,,"Ramzan Ali",Cutting,LWR,SDL,SDL,ramali,,Asus,"Intel Core i3",3.10,,500,8GB,,,,"WIN10 Pro",,,None,,
BD-00005,,,,Display,Monitor,Assigned,NEDGHMJZ600722A,Samsung,B2230,"11,200",2010-03-02,,,"Ruhul Amin Khokon",PCC,LWR,,SDL,rukhokon,,,,,,,,,,,,,,,,
BD-00006,21004000015,N/A,,UPS,UPS,Assigned,E110335414,"Power Guard",PG-650AOF,"2,900",2010-02-05,,,"Helal Udden",Prodcution,LWR,SDL,SDL,hudden,,,,,,,,,,,,,,,,
BD-00007,,,DEWBDSDLP01,Projector,Projector,Assigned,"EB925 - PAZF160061L",Epson,H387C,"33,500",2012-03-06,,,,PCC,SWR,,SDL,"PCC all",,,,,,,,,10.140.50.1,,,,,,,
BD-00008,,,,Phone,CIPT,Stock,INM08271K1Y,Cisco,7940,"3,500",2009-03-02,,,,MIS,SWR,,SDL,,,,,,,,,,,,,,,,,
BD-00009,210011000010,n/a,SDLD162C,Computer,Desktop,Assigned,8701405012,Dell,"Optiplex 390 MT","40,000",2012-04-03,,,"Mukter Hossain",Quality,LWR,SDL,SDL,muhossain,,,"Intel Core i3",3.10,,500,8192,,,,"WIN10 Pro",,,"WIN 7 Pro",CR6G7-83Y6V-3TKJR-8Y72D-G63JQ,
BD-00010,,1,,Display,Monitor,"Need to Dispose",04H19R-72872-1B2-H8KM,Dell,E1912HF,"8,600",2012-04-03,,,"Ripon Chakraborty","Industrial Engineering",SWR,SDL,SDL,rchakraborty,,,,,,,,,,,,,,,,
BD-00011,21004000151,,,UPS,UPS,Disposed,E100829968,"Power Guard",PG-2000AOF,"4,800",2010-03-02,,,"Ex.Mahabob Hasan",MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00012,210011000011,n/a,SDLD161E,Computer,Desktop,"Need to Dispose",36878643028,Dell,"Optiplex 390 MT","40,000",2012-04-03,,,"Aminul Islam",Cutting,SWR,SDL,SDL,Anislam,,,"Intel Core i3",3.10,,1024,"8192 ",,,,"WIN10 Pro",2021-05-31,,"WIN 7 Pro",C9HQR-XKBY6-R4XTC-MHGQH-HPRMY,
BD-00013,,,,Display,Monitor,Assigned,CN-04H19R-72872-1B2-HAMM,Dell,E1912HF,"8,600",2012-04-03,,,"Siddikur Rahman",PCC,SWR,,SDL,sidrahman,,,,,,,,,,,,,,,,
BD-00014,,,SDLP004,Printer,Printer,"Need to dispose",E66296G9F387122,Brother,"Inkjet DCP-6690CW","29,000",2011-01-01,,,,MIS,SWR,,SDL,,,,,,,,,,,,,,,,,"Need to Send Service centre."
BD-00015,,n/a,SDLD020G,Computer,Desktop,"Need to Dispose",C8M0CS051440,Clone,"P8H61-MLX3 R2.0","18,000",2014-11-29,,,"Al Amin 3",Finishing,LWR,SIL,SDL,alamin3,,Asus,"Intelï¿½ Coreï¿½ i3-2100",3.10,,500,8192,,,,"WIN10 Pro",2020-10-01,,None,,
BD-00016,,,,Display,Monitor,Disposed,CN-04H19R-72872-1A0-CV3L,Dell,E1912HF,"8,600",2012-04-03,,,"Taohidul Islam",PCC,SWR,,SDL,taoislam,,,,,,,,,,,,,,,,
BD-00017,210011000012,n/a,SDLD481B,Computer,Desktop,Assigned,72XLB25,Dell,"Optiplex 390 MT","40,000",2012-04-03,,,"Rashedul Hasan","Human Resource",LWR,SDL,SDL,rashasan,,,"Intel Core i3 2100",3.10,,1024,8192,,,,"WIN10 Pro",,,"WIN 7 Pro",VWPPT-6B4QX-7B4QX-7BG42-FQ739,
BD-00018,,,,Display,Monitor,Assigned,CN-04H19R-72872-1B2-H60M,Dell,E1912HF,"8,600",2012-04-03,,,"Khairun Naher",PCC,SWR,,SDL,knaher,,,,,,,,,,,,,,,,
BD-00019,,,,UPS,UPS,Disposed,27023,Micro,UVS-1000,"4,800",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00020,21004000093,1,SDLD484,Computer,Desktop,"Need to Dispose",24121959508,Dell,"Optiplex 390 MT","40,000",2012-04-03,,,"Jahidul Islam 2",PCC,SWR,SDL,SDL,jaislam,,,"Intel Core i3",3.10,,500,"4096 ",,,,"WIN10 Pro",,,"WIN 7 Pro",9CFTK-P3MWG-8KPBV-J6627-XBHJD,
BD-00021,,,,Display,Monitor,Assigned,CN-04H19R-72872-1B2-HAKM,Dell,E1912HF,"8,600",2012-04-03,,,"Shariful Islam2",PCC,SWR,,SDL,sharislam,,,,,,,,,,,,,,,,
BD-00022,11004000201,n/a,SDLD544,Computer,Desktop,Assigned,33915800404,Dell,"Optiplex 390 MT","40,000",2012-04-03,,,"Khorshed Alam Khan",Store,SWR,SIL,SDL,kalamkhan,,,"Intel Core i3",3.10,,500,8192,,,,"WIN10 Pro",2022-03-23,,"WIN 7 Pro",2Y93M-TTFPV-TFGJ2-BVGW7-7MV43,"Graphics card added on March 2022 by Morshed, Built in VGA and HDMI is not working"
BD-00023,,n/a,,Display,Monitor,Assigned,CN-04H19R-72872-1A0-CUWL,Dell,E1912HF,"8,600",2012-04-03,,,"Iqbal Hossain 2",PCC,SWR,SDL,SDL,iqhossain2,,,,,,,,,,,,,,,,
BD-00024,,n/a,SDLD247C,Computer,Desktop,Assigned,B6M0AB560215,Clone,P8H61-MLX,"18,000",2011-01-04,,,"Mojahedul Islam",Maintenance,LWR,SDL,SDL,mojislam,,Asus,"Intel Core i3",3.10,,500,6144,,,,"WIN10 Pro",2021-03-24,,None,,
BD-00025,,,,Display,Monitor,Disposed,NE5UHMBB800010K,Samsung,B1930,"8,500",2010-03-02,,,"Rabiul Islam",IE,SWR,,SDL,rabislam,,,,,,,,,,,,,,,,
BD-00026,,,,UPS,UPS,Disposed,27012,Micro,UVS-100VA,"4,800",2010-01-01,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00027,11004000068,,,Computer,Laptop,Disposed,"CNF 03934P7",HP,"Probook 4420s","36,000",2010-06-07,,,"Temp assigned to Saifuddin Ahamed",Quality,SWR,,SDL,sahamed,,,"Intel Core i3",2.40,,160,"4096 ",,,,"WIN7 Pro",,,None,,
BD-00028,,,10.140.40.10,Phone,CIPT,Assigned,FCH10068PHS,Cisco,7940,"3,500",2009-03-02,,,"Mark Matthews",PCC,SWR,,SDL,mmatthews,,,,,,,,,10.140.40.10,,,,,,,
BD-00029,,,,Printer,Printer,Assigned,VNC4P70226,HP,"Laser Jet  P1102","8,500",2010-06-07,,,"Mark Matthews",PCC,SWR,,SDL,mmatthews,,,,,,,,,,,,,,,,
BD-00030,,,SDLP005,Printer,Printer,Assigned,VNC3T04104,HP,"Laser Jet 2055DN","44,000",2012-01-01,,,"Sample all",Sample,SWR,,SDL,,,,,,,,,,,,,,,,,
BD-00031,,,,Network,"Access Point",Disposed,MDG30k303712,Linksys,WAP54G,"7,300",2010-01-01,,,,MIS,SWR,,SDL,,,,,,,,,,,,,,,,,
BD-00032,,,SDLD473,Computer,Desktop,Assigned,SN172160065772,Clone,GA-H110M-S2PH,"32,000",2017-10-08,"Star Tech/INV-STETB-2017-065288",1206,"Mostafizur Rahman",Cutting,LWR,,SDL,mosrahman,,Gigabyte,"Intel® Core™ i3-7100",3.90,,500,"8192 ",,,,"WIN10 Pro",,,"Win 10 Pro",DNPH9-97WXH-M2Y7J-3DBQG-P7JXF,
BD-00033,,1,,Display,Monitor,"Need to Dispose",CN-0U417N-64180-14R-2W8S,Dell,E1910HC,"8,600",2010-06-07,,,"Rozina Akter",Cutting,LWR,SDL,SDL,roakter,,,,,,,,,,,,,,,,
BD-00034,21004000023,,,UPS,UPS,Disposed,E110322910,"Power Guard",650AOF,"2,800",2010-03-02,,,"Ex.Ibrahim Sardar",MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-00035,,,SDLP011,Printer,Printer,Assigned,CNBR78203B,HP,"Laser P2014n","11,000",2009-01-01,,,"Common (Store All)","Store ",LWR,,SDL,"Store Common",,,,,,,,,,,,,,,,
BD-00036,11004000178,n/a,SDLD414E,Computer,Desktop,Assigned,SGH106PBTH,HP,"Pro 3130 MT","33,000",2011-02-02,,,"Imran Bappi","Industrial Engineering",LWR,SIL,SDL,ibappi,,,"Intelï¿½ Core ï¿½  i3 -550",3.2,,500,4096,,,,"WIN10 Pro",2021-01-03,,None,,
BD-00037,,1,,Display,Monitor,Disposed,704INAR1V728,LG,L1753S,"5,500",2009-02-04,,,"Jamal Uddin",Cutting,LWR,SIL,SDL,Jauddin,,,,,,,,,,,,,,,,
BD-00038,41004000001,,,UPS,UPS,Disposed,E091222216,"Power Guard",PG-2000AOF,"4,800",2010-03-02,,,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
